fecha;horas;horas_extras;user_id
2025-01-13;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-14;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-15;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-16;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-17;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-20;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-21;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-22;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-23;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-24;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-28;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-29;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-30;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-01-31;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-3;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-4;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-5;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-6;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-7;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-10;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-11;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-12;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-13;4;1;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
2025-02-14;4;0;fcabaa9a-017e-4ad0-9e4b-6dacf84ce7a1
